prompt_A,prompt_B,accuracy_difference_A_minus_B,ci_lower,ci_upper
Baseline,Noise,-0.010000000000000009,-0.03500000000000003,0.015000000000000013
Baseline,Structured,0.02749999999999997,0.0,0.05500000000000005
Baseline,Yes_Man,0.345,0.29500000000000004,0.39499999999999996
Baseline,Zero_Shot_CoT,-0.025000000000000022,-0.050000000000000044,0.0
Noise,Structured,0.03749999999999998,0.010000000000000009,0.0675
Noise,Yes_Man,0.355,0.3075,0.40499999999999997
Noise,Zero_Shot_CoT,-0.015000000000000013,-0.04249999999999998,0.010000000000000009
Structured,Yes_Man,0.3175,0.26749999999999996,0.3675
Structured,Zero_Shot_CoT,-0.05249999999999999,-0.08250000000000002,-0.022499999999999964
Yes_Man,Zero_Shot_CoT,-0.37,-0.42,-0.32249999999999995
