prompt_A,prompt_B,accuracy_A,accuracy_B,accuracy_difference_A_minus_B,A_correct_B_wrong,A_wrong_B_correct,discordant,p_value_raw,p_value_holm,significant_holm_0.05
Yes_Man,Zero_Shot_CoT,0.475,0.845,-0.37,3,151,154,5.33229098137201e-41,5.33229098137201e-40,True
Noise,Yes_Man,0.83,0.475,0.355,145,3,148,3.0291756799432425e-39,2.726258111948918e-38,True
Baseline,Yes_Man,0.82,0.475,0.345,144,6,150,2.08925524731209e-35,1.671404197849672e-34,True
Structured,Yes_Man,0.7925,0.475,0.3175,139,12,151,1.4342798784369124e-28,1.0039959149058388e-27,True
Structured,Zero_Shot_CoT,0.7925,0.845,-0.05249999999999999,9,30,39,0.0010650196345523,0.0063901178073138,True
Noise,Structured,0.83,0.7925,0.03749999999999998,24,9,33,0.013530986849218607,0.06765493424609303,False
Baseline,Structured,0.82,0.7925,0.02749999999999997,22,11,33,0.08014331245794892,0.3205732498317957,False
Baseline,Zero_Shot_CoT,0.82,0.845,-0.025000000000000022,9,19,28,0.08715855330228806,0.3205732498317957,False
Baseline,Noise,0.82,0.83,-0.010000000000000009,11,15,26,0.557197093963623,0.6898569017648697,False
Noise,Zero_Shot_CoT,0.83,0.845,-0.015000000000000013,11,17,28,0.34492845088243484,0.6898569017648697,False
