Question_ID,Baseline,Noise,Structured,Yes_Man,Zero_Shot_CoT
Q10192,1,1,1,1,1
Q10379,1,1,1,1,1
Q10653,0,1,1,0,0
Q10668,1,0,0,1,1
Q11240,0,0,0,0,0
Q11769,0,0,0,0,0
Q12248,0,0,0,0,0
Q12306,1,1,1,0,1
Q12354,1,1,0,0,1
Q12691,1,1,1,0,1
Q12745,0,0,0,0,0
Q12976,1,1,1,0,1
Q13383,1,1,1,0,1
Q13623,1,1,1,1,1
Q13724,1,1,1,0,1
Q13782,1,1,1,0,0
Q1698,1,1,1,0,1
Q170,0,1,1,0,0
Q2146,1,1,1,1,1
Q219,1,1,1,1,1
Q2460,1,1,1,0,1
Q2808,1,1,1,1,1
Q287,1,1,1,1,1
Q3426,1,1,1,0,1
Q3462,1,1,1,0,1
Q469,1,1,0,1,1
Q4744,1,1,1,1,1
Q4817,1,1,1,1,1
Q5218,1,1,1,0,1
Q5313,1,1,1,1,1
Q5461,1,1,0,1,1
Q5712,1,1,1,1,1
Q5724,1,1,1,0,0
Q5769,1,1,1,0,1
Q6562,1,1,1,1,1
Q6850,1,1,1,1,1
Q6923,1,1,1,1,1
Q7329,1,1,1,1,1
Q7407,1,1,1,1,1
Q748,1,1,1,0,1
Q7597,1,1,1,1,1
Q7614,1,1,1,1,1
Q795,1,1,1,1,1
Q8523,0,0,0,0,0
Q8700,1,1,1,0,1
Q8810,0,0,0,0,0
Q9206,1,1,1,1,1
Q9413,1,1,1,1,1
Q9736,0,0,0,0,0
Q9854,1,1,1,1,1
