Question_ID,Prompt_Style,Ground_Truth,Raw_AI_Response
Q12745,Baseline,C,A
Q13383,Baseline,D,D
Q11240,Baseline,B,A
Q6562,Baseline,C,C
Q12248,Baseline,A,B
Q4817,Baseline,D,D
Q13782,Baseline,A,A
Q7614,Baseline,B,B
Q11769,Baseline,D,A
Q2808,Baseline,C,C
Q13623,Baseline,B,B
Q6923,Baseline,C,C
Q748,Baseline,C,C
Q10668,Baseline,A,A
Q3462,Baseline,B,B
Q469,Baseline,C,C
Q4744,Baseline,C,C
Q219,Baseline,B,B
Q7329,Baseline,C,C
Q8700,Baseline,B,B
Q6850,Baseline,B,B
Q5769,Baseline,D,D
Q2460,Baseline,D,D
Q5724,Baseline,A,A
Q3426,Baseline,C,C
Q795,Baseline,C,C
Q13724,Baseline,B,B
Q5218,Baseline,A,A
Q2146,Baseline,B,B
Q10192,Baseline,B,B
Q7597,Baseline,B,B
Q9206,Baseline,C,C
Q170,Baseline,B,C
Q12976,Baseline,B,B
Q5461,Baseline,D,D
Q9736,Baseline,A,B
Q10653,Baseline,C,A
Q10379,Baseline,C,C
Q5313,Baseline,B,B
Q5712,Baseline,A,A
Q287,Baseline,D,D
Q12306,Baseline,B,B
Q12354,Baseline,D,D
Q8810,Baseline,D,C
Q12691,Baseline,C,C
Q9854,Baseline,D,D
Q7407,Baseline,C,C
Q8523,Baseline,C,A
Q9413,Baseline,C,C
Q1698,Baseline,C,C
Q12745,Structured,C,"```json
{
  ""answer"": ""A""
}
```"
Q13383,Structured,D,"```json
{
  ""answer"": ""D""
}
```"
Q11240,Structured,B,"{""answer"": ""A""}"
Q6562,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q12248,Structured,A,"{""answer"": ""C""}"
Q4817,Structured,D,"```json
{
  ""answer"": ""D""
}
```"
Q13782,Structured,A,"```json
{
  ""answer"": ""A""
}
```"
Q7614,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q11769,Structured,D,"```json
{
  ""answer"": ""A""
}
```"
Q2808,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q13623,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q6923,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q748,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q10668,Structured,A,"```json
{
  ""answer"": ""D""
}
```"
Q3462,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q469,Structured,C,"```json
{
  ""answer"": ""B""
}
```"
Q4744,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q219,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q7329,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q8700,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q6850,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q5769,Structured,D,"```json
{
  ""answer"": ""D""
}
```"
Q2460,Structured,D,"```json
{
  ""answer"": ""D""
}
```"
Q5724,Structured,A,"```json
{
  ""answer"": ""A""
}
```"
Q3426,Structured,C,"{""answer"": ""C""}"
Q795,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q13724,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q5218,Structured,A,"```json
{
  ""answer"": ""A""
}
```"
Q2146,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q10192,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q7597,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q9206,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q170,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q12976,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q5461,Structured,D,"```json
{
  ""answer"": ""A""
}
```"
Q9736,Structured,A,"```json
{
  ""answer"": ""B""
}
```"
Q10653,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q10379,Structured,C,"{""answer"": ""C""}"
Q5313,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q5712,Structured,A,"```json
{
  ""answer"": ""A""
}
```"
Q287,Structured,D,"{""answer"": ""D""}"
Q12306,Structured,B,"```json
{
  ""answer"": ""B""
}
```"
Q12354,Structured,D,"{""answer"": ""Vascular dementia""}"
Q8810,Structured,D,"```json
{
  ""answer"": ""C""
}
```"
Q12691,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q9854,Structured,D,"```json
{
  ""answer"": ""D""
}
```"
Q7407,Structured,C,"```json
{
  ""answer"": ""C""
}
```"
Q8523,Structured,C,"```json
{
  ""answer"": ""A""
}
```"
