Question_ID,Baseline,Noise,Structured,Yes_Man,Zero_Shot_CoT
Q015,1,1,1,1,1
Q032,1,1,1,1,1
Q100,1,1,0,1,1
Q10006,0,0,1,0,0
Q10010,1,1,1,0,1
Q10039,1,1,1,0,1
Q10045,0,1,1,0,1
Q10055,1,1,1,0,1
Q10120,1,1,1,1,1
Q10126,1,1,1,1,1
Q10142,0,0,0,0,0
Q10213,1,1,1,1,1
Q10219,1,1,1,0,1
Q10221,1,1,1,0,1
Q1023,1,1,1,1,1
Q10292,1,1,1,1,1
Q103,1,1,1,1,1
Q10339,1,1,1,1,1
Q1035,1,1,1,1,1
Q10359,1,1,1,0,1
Q1040,1,1,1,1,1
Q10402,1,1,1,0,1
Q10465,1,1,1,1,0
Q10476,1,1,1,0,1
Q10496,1,1,1,0,1
Q10504,1,1,1,0,1
Q10578,1,1,1,1,1
Q10595,1,1,1,0,1
Q10597,1,1,1,0,1
Q10612,0,1,0,1,1
Q10629,0,0,0,0,0
Q10674,1,1,1,1,1
Q10704,1,1,1,0,1
Q10710,1,1,1,0,1
Q10779,0,0,0,0,0
Q1079,1,1,1,1,1
Q10837,0,0,0,0,1
Q10843,0,0,0,0,0
Q10969,0,0,0,0,0
Q10980,0,0,0,0,0
Q10992,1,1,1,0,1
Q11018,1,0,0,0,1
Q11076,0,0,0,0,0
Q1108,1,1,1,1,1
Q11086,1,1,1,0,1
Q1112,1,0,0,0,0
Q11156,1,1,1,1,1
Q11174,1,1,1,0,1
Q11183,1,1,1,0,1
Q11389,0,1,0,0,0
Q11446,1,1,1,0,0
Q11493,0,0,0,0,0
Q11496,0,0,1,0,1
Q11503,1,1,1,0,1
Q11524,1,1,1,0,1
Q11598,1,1,1,0,1
Q11618,1,1,1,1,1
Q11763,0,0,0,0,0
Q11798,1,1,1,1,1
Q11880,1,1,1,1,1
Q11961,1,1,0,0,1
Q12011,1,1,1,0,1
Q12042,0,1,1,0,1
Q12050,0,1,0,0,1
Q12062,0,0,0,0,0
Q12072,1,0,1,0,1
Q12158,0,0,0,0,1
Q12209,1,1,1,0,1
Q1226,1,1,1,1,1
Q12275,1,1,1,0,1
Q12367,1,1,1,0,1
Q12373,1,1,1,1,1
Q12382,1,1,1,1,1
Q12464,1,1,1,0,1
Q12497,1,1,1,0,1
Q12500,1,1,1,0,1
Q12531,0,0,0,0,1
Q1254,1,1,1,1,1
Q12588,1,1,1,0,1
Q12627,1,1,1,0,1
Q12630,1,1,1,1,1
Q12644,1,1,1,1,1
Q12710,1,1,1,0,1
Q12781,1,1,1,0,1
Q12792,1,1,1,0,1
Q12800,0,0,0,0,0
Q13065,1,1,1,0,1
Q13096,0,0,0,0,0
Q13134,1,1,1,1,1
Q13184,1,1,1,0,1
Q13265,1,1,1,0,1
Q1327,0,0,0,0,0
Q1329,1,1,1,0,1
Q13310,1,1,1,0,1
Q13342,1,1,1,1,1
Q13428,1,1,1,0,1
Q13462,1,1,1,0,1
Q13477,1,1,1,1,1
Q13513,0,0,0,0,1
Q13516,1,1,1,1,1
Q13529,1,1,1,1,1
Q13576,1,1,1,1,1
Q13586,1,1,1,0,1
Q13598,1,1,1,0,1
Q13601,1,1,1,1,1
Q13616,1,1,1,1,1
Q13640,1,1,1,1,1
