Question_ID,Prompt_Style,Ground_Truth,Raw_AI_Response
Q3577,Baseline,D,D
Q9995,Baseline,D,B
Q6051,Baseline,B,B
Q7802,Baseline,A,B
Q4862,Baseline,A,A
Q3888,Baseline,D,D
Q2026,Baseline,D,C
Q13462,Baseline,C,C
Q4354,Baseline,D,D
Q609,Baseline,A,A
Q2895,Baseline,A,A
Q4227,Baseline,B,B
Q773,Baseline,D,D
Q7062,Baseline,C,B
Q8406,Baseline,D,B
Q9151,Baseline,B,D
Q9934,Baseline,D,D
Q9279,Baseline,B,B
Q1108,Baseline,B,B
Q2123,Baseline,A,A
Q10339,Baseline,D,D
Q12367,Baseline,A,A
Q12781,Baseline,C,C
Q1685,Baseline,B,B
Q8886,Baseline,D,D
Q3821,Baseline,B,B
Q10402,Baseline,B,B
Q12644,Baseline,D,D
Q2520,Baseline,C,C
Q12497,Baseline,A,A
Q6265,Baseline,A,B
Q6821,Baseline,B,B
Q8891,Baseline,C,C
Q3801,Baseline,B,B
Q8118,Baseline,A,A
Q10465,Baseline,D,D
Q2418,Baseline,B,B
Q1684,Baseline,A,A
Q4476,Baseline,C,C
Q3529,Baseline,B,B
Q6947,Baseline,C,C
Q1651,Baseline,A,B
Q6342,Baseline,D,D
Q13477,Baseline,D,D
Q11880,Baseline,C,C
Q1587,Baseline,A,A
Q3805,Baseline,A,A
Q1490,Baseline,A,A
Q8881,Baseline,A,B
Q9140,Baseline,C,C
Q2663,Baseline,B,B
Q1517,Baseline,D,D
Q1724,Baseline,B,C
Q13065,Baseline,C,C
Q8210,Baseline,A,B
Q736,Baseline,C,C
Q1563,Baseline,C,C
Q10597,Baseline,D,D
Q4924,Baseline,D,D
Q4251,Baseline,D,D
Q8929,Baseline,D,D
Q12800,Baseline,B,A
Q625,Baseline,C,C
Q7448,Baseline,D,D
Q5715,Baseline,C,C
Q8754,Baseline,D,D
Q11156,Baseline,C,C
Q169,Baseline,D,C
Q9894,Baseline,A,A
Q4919,Baseline,A,A
Q3590,Baseline,B,A
Q6473,Baseline,B,B
Q6127,Baseline,B,B
Q9378,Baseline,D,C
Q2145,Baseline,A,A
Q4702,Baseline,D,D
Q1483,Baseline,C,B
Q12158,Baseline,B,D
Q2586,Baseline,A,C
Q9905,Baseline,C,C
Q4915,Baseline,A,A
Q9221,Baseline,B,B
Q13640,Baseline,B,B
Q12531,Baseline,C,D
Q2827,Baseline,B,B
Q10039,Baseline,C,C
Q4808,Baseline,B,B
Q11183,Baseline,D,D
Q9865,Baseline,D,D
Q13643,Baseline,C,C
Q1618,Baseline,C,C
Q11174,Baseline,C,C
Q3370,Baseline,C,C
Q5903,Baseline,A,D
Q12710,Baseline,A,A
Q354,Baseline,A,A
Q13601,Baseline,D,D
Q13987,Baseline,C,C
Q9126,Baseline,D,B
Q2486,Baseline,C,C
Q978,Baseline,B,C
Q1112,Baseline,D,D
Q11076,Baseline,C,B
Q3681,Baseline,D,D
Q4861,Baseline,D,D
Q8484,Baseline,C,C
Q3356,Baseline,C,C
Q10992,Baseline,B,B
Q11503,Baseline,C,C
Q015,Baseline,C,C
Q13586,Baseline,C,C
Q1945,Baseline,D,D
Q8458,Baseline,B,D
Q8244,Baseline,B,D
Q4116,Baseline,A,A
Q12630,Baseline,D,D
Q5119,Baseline,A,A
Q9240,Baseline,A,B
Q7848,Baseline,D,D
Q3692,Baseline,A,B
Q13184,Baseline,C,C
Q3996,Baseline,D,D
Q12062,Baseline,A,B
Q13844,Baseline,B,B
Q13529,Baseline,A,A
Q8310,Baseline,D,D
Q10219,Baseline,C,C
Q328,Baseline,A,A
Q13576,Baseline,A,A
Q4966,Baseline,A,A
Q5505,Baseline,B,B
Q3419,Baseline,D,D
Q400,Baseline,D,D
Q5287,Baseline,B,B
Q2237,Baseline,A,A
Q8409,Baseline,B,A
Q4591,Baseline,A,A
Q3342,Baseline,D,D
Q2022,Baseline,B,B
Q709,Baseline,B,B
Q5016,Baseline,C,C
Q4478,Baseline,C,C
Q13265,Baseline,B,B
Q5077,Baseline,A,A
Q8904,Baseline,C,C
Q5598,Baseline,D,D
Q9871,Baseline,C,C
Q7965,Baseline,C,C
Q12627,Baseline,C,C
Q6743,Baseline,B,B
Q737,Baseline,B,B
Q6760,Baseline,D,D
Q8392,Baseline,D,D
Q6857,Baseline,A,A
Q7525,Baseline,C,C
Q11493,Baseline,D,A
Q9564,Baseline,D,D
Q5512,Baseline,C,C
Q7701,Baseline,B,B
Q3046,Baseline,B,B
Q13598,Baseline,C,C
Q13785,Baseline,B,B
Q10055,Baseline,C,C
Q12042,Baseline,C,B
Q9234,Baseline,C,C
Q5175,Baseline,D,D
Q9390,Baseline,B,B
Q4193,Baseline,D,D
Q7022,Baseline,B,B
Q9229,Baseline,B,B
Q13889,Baseline,C,C
Q4641,Baseline,D,D
Q291,Baseline,C,C
Q7566,Baseline,B,B
Q10980,Baseline,C,A
Q2778,Baseline,B,B
Q8448,Baseline,C,C
Q4990,Baseline,D,D
Q4992,Baseline,D,D
Q4827,Baseline,C,C
Q7504,Baseline,B,B
Q3882,Baseline,D,D
Q8728,Baseline,A,A
Q4642,Baseline,C,C
Q2309,Baseline,B,B
Q8270,Baseline,B,A
Q1035,Baseline,D,D
Q2151,Baseline,D,D
Q6046,Baseline,D,D
Q1581,Baseline,D,D
Q8882,Baseline,A,C
Q11018,Baseline,C,C
Q13513,Baseline,A,D
Q8143,Baseline,D,D
Q9802,Baseline,D,C
Q8873,Baseline,A,A
Q2629,Baseline,B,B
Q6085,Baseline,D,A
Q7464,Baseline,B,C
Q11389,Baseline,B,A
Q12011,Baseline,B,B
Q9456,Baseline,A,A
Q3129,Baseline,B,B
Q4111,Baseline,D,D
Q9330,Baseline,C,C
Q6476,Baseline,C,C
